CityNameChinese,trend20210131_covid19,trend20201231_covid19,trend20210131_policy,diff202012Covid
深圳市,12408,5897,190,112
杭州市,11795,5924,194,106
广州市,8952,4470,151,89
宁波市,3925,2170,73,73
青岛市,6923,3106,76,128
厦门市,2404,1516,63,48
苏州市,8578,3809,118,78
武汉市,5301,2685,114,63
南京市,7564,3076,110,122
成都市,6032,6744,135,127
济南市,7111,2884,80,120
沈阳市,7747,6652,55,246
大连市,2966,3143,50,134
哈尔滨市,7767,3812,51,189
长春市,8680,3827,53,224
贵阳市,2980,1790,49,87
福州市,3016,1635,60,63
石家庄市,13042,3572,61,220
西安市,7171,3174,79,117
海口市,1555,942,41,87
郑州市,7889,3614,96,88
合肥市,6188,2755,72,78
长沙市,7501,3204,81,107
南京市,7564,3076,110,122
银川市,1608,923,19,65
南昌市,3316,1354,45,86
呼和浩特市,2287,1236,40,60
兰州市,2880,1223,44,70
昆明市,2941,2088,57,101
太原市,5853,1869,54,165
拉萨市,542,432,22,66
西宁市,1397,870,23,47
乌鲁木齐市,1282,1157,23,-2
珠海市 ,1220,666,46,70
佛山市 ,2959,1702,70,58
台州市 ,1477,930,44,59
潍坊市,2793,1334,38,78
东莞市,4947,2645,98,102
中山市,1326,776,50,62
赣州市,1303,713,27,75
威海市,1145,686,36,82
泉州市,2364,1297,51,53
安庆市,927,403,20,58
宜昌市,863,445,34,67
常德市,876,462,30,69
绍兴市,1304,745,45,49
无锡市,2643,1677,70,49
泸州市,584,411,20,123
金华市,1973,1310,54,61
泰安市,1210,629,25,75
南通市,1941,10470,47,63
襄阳市,876,481,20,31
烟台市,1686,1084,42,57
淄博市,1467,782,28,51
嘉兴市,1946,1243,55,61
聊城市,1702,790,30,119
温州市,2615,1614,53,45
扬州市,1352,790,41,59
东营市,1029,509,31,86
廊坊市,5171,1724,50,203
遵义市,1233,885,24,67
茂名市,482,318,24,31
蚌埠市,713,371,7,46
沧州市,3176,1082,31,118
九江市,1109,529,25,40
洛阳市,2182,1062,42,65
徐州市,2624,1140,44,97
济宁市,1996,1010,29,66
常州市,2004,1209,53,63
芜湖市,1124,540,30,65
柳州市,907,403,17,71
三亚市,770,385,29,113
岳阳市,835,426,25,70
泰州市,1129,650,31,65
吉林市,2059,1181,14,96
韶关市,474,292,27,40
惠州市,1587,1065,49,67
南充市,824,652,27,85
临沂市,3115,1317,41,79
盐城市,1471,801,42,99
包头市,972,625,30,62
菏泽市,1691,972,27,50
平顶山市,920,559,16,29
湛江市,919,545,20,59
漳州市,782,466,29,60
南阳市,1769,1002,35,52
镇江市,1420,730,38,75
北海市,602,300,9,73
淮安市,1077,574,30,66
秦皇岛市,2384,944,24,105
邯郸市,3814,1145,29,152
大理白族自治州,926,695,13,70
衡阳市,855,421,24,60
唐山市,3500,1264,29,69
锦州市,1151,911,15,93
鄂尔多斯市,1034,550,18,68
榆林市,1544,859,22,90
桂林市,1091,577,28,65
保定市,6067,1763,49,194
丹东市,898,641,5,138
牡丹江市,975,774,11,86