ProvinceName,ProvinceCode,ConfirmedCases20210101,ConfirmedCases20210131
北京,11,988,1038
天津,12,312,344
上海,31,1520,1698
重庆,50,590,591
新疆,65,980,980
宁夏,64,75,75
西藏,54,1,1
广西,45,264,267
内蒙,15,364,366
黑龙江,23,964,1583
吉林,22,157,551
辽宁,21,359,400
河北,13,373,1313
甘肃,62,182,187
青海,63,18,18
四川,51,853,870
云南,53,230,231
山西,14,224,238
山东,37,863,866
陕西,61,508,539
河南,41,1299,1303
湖北,42,68149,68150
湖南,43,1021,1031
贵州,52,147,147
江苏,32,684,694
安徽,34,993,994
浙江,33,1306,1316
江西,36,935,935
福建,35,514,541
广东,44,2049,2124
海南,46,171,171